X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
0.908929345,0.908929345,0.908929345,0.908929345,0.908929345,0.908929345,0.908929345,0.908929345,0.908929345,0.908929345,0.908929345,0.908929345
0.912366671,0.912366671,0.912366671,0.912366671,0.912366671,0.912366671,0.912366671,0.912366671,0.912366671,0.912366671,0.912366671,0.912366671
0.915516202,0.915516202,0.915516202,0.915516202,0.915516202,0.915516202,0.915516202,0.915516202,0.915516202,0.915516202,0.915516202,0.915516202
0.918349235,0.918349235,0.918349235,0.918349235,0.918349235,0.918349235,0.918349235,0.918349235,0.918349235,0.918349235,0.918349235,0.918349235
0.920871787,0.920871787,0.920871787,0.920871787,0.920871787,0.920871787,0.920871787,0.920871787,0.920871787,0.920871787,0.920871787,0.920871787
0.923114984,0.923114984,0.923114984,0.923114984,0.923114984,0.923114984,0.923114984,0.923114984,0.923114984,0.923114984,0.923114984,0.923114984
0.924983901,0.924983901,0.924983901,0.924983901,0.924983901,0.924983901,0.924983901,0.924983901,0.924983901,0.924983901,0.924983901,0.924983901
0.926387055,0.926387055,0.926387055,0.926387055,0.926387055,0.926387055,0.926387055,0.926387055,0.926387055,0.926387055,0.926387055,0.926387055
0.927600383,0.927600383,0.927600383,0.927600383,0.927600383,0.927600383,0.927600383,0.927600383,0.927600383,0.927600383,0.927600383,0.927600383
0.928828016,0.928828016,0.928828016,0.928828016,0.928828016,0.928828016,0.928828016,0.928828016,0.928828016,0.928828016,0.928828016,0.928828016
0.929820622,0.929820622,0.929820622,0.929820622,0.929820622,0.929820622,0.929820622,0.929820622,0.929820622,0.929820622,0.929820622,0.929820622
0.930663349,0.930663349,0.930663349,0.930663349,0.930663349,0.930663349,0.930663349,0.930663349,0.930663349,0.930663349,0.930663349,0.930663349
0.931516134,0.931516134,0.931516134,0.931516134,0.931516134,0.931516134,0.931516134,0.931516134,0.931516134,0.931516134,0.931516134,0.931516134
0.932345812,0.932345812,0.932345812,0.932345812,0.932345812,0.932345812,0.932345812,0.932345812,0.932345812,0.932345812,0.932345812,0.932345812
